Equipamento utilizado para acessar a Internet;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas);;;;;;Equipamento utilizado para acessar a Internet;Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%);;;;;;;;;;;
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;
;1391;990;949;1536;1612;1613;;843;601;560;945;1095;960;Total;Total;;;;
;;;;;;;;;;;;;;Microcomputador;Microcomputador;;;;
;1640;1297;1182;1749;1794;1916;;1000;800;699;1065;1224;1134;Utilizaram;Utilizaram;;;;
;1150;778;737;1263;1355;1236;;765;496;450;833;962;788;Somente microcomputador;Somente microcomputador;;;;
;780;654;564;881;973;910;;571;482;412;662;756;698;Não utilizaram;Não utilizaram;;;;
;;;;;;;;;;;;;;Telefone móvel celular ou tablet;Telefone móvel celular ou tablet;;;;
;1421;1009;974;1572;1656;1646;;857;625;574;955;1119;980;Utilizaram;Utilizaram;;;;
;774;649;562;875;965;900;;566;482;411;661;751;697;Somente telefone móvel celular ou tablet;Somente telefone móvel celular ou tablet;;;;
;1151;774;736;1261;1366;1237;;765;482;453;834;965;788;Não utilizaram;Não utilizaram;;;;
;;;;;;;;;;;;;;Telefone móvel celular;Telefone móvel celular;;;;
;1421;1009;975;1572;1657;1647;;857;625;574;956;1120;982;Utilizaram;Utilizaram;;;;
;752;641;554;846;924;891;;560;477;406;650;747;694;Somente telefone móvel celular;Somente telefone móvel celular;;;;
;1169;789;747;1285;1379;1252;;766;499;459;844;971;791;Não utilizaram;Não utilizaram;;;;
;;;;;;;;;;;;;;Tablet;Tablet;;;;
;2492;2124;1735;2655;2504;3215;;1416;1299;942;1476;1635;1913;Utilizaram;Utilizaram;;;;
;986;787;583;1167;1290;831;;624;600;406;730;896;681;Somente tablet;Somente tablet;;;;
;1189;892;834;1295;1439;1343;;788;578;525;871;1000;893;Não utilizaram;Não utilizaram;;;;
;;;;;;;;;;;;;;Televisão;Televisão;;;;
;3206;2856;2494;3305;3079;4018;;1996;2042;1549;1984;2085;2623;Utilizaram;Utilizaram;;;;
;1292;961;898;1423;1510;1474;;809;599;547;900;1048;924;Não utilizaram;Não utilizaram;;;;
;;;;;;;;;;;;;;Outro equipamento;Outro equipamento;;;;
;2701;2592;2056;2781;2251;3860;;1670;1637;1400;1683;1556;2112;Utilizaram;Utilizaram;;;;
;1383;985;946;1527;1609;1604;;839;600;559;940;1090;959;Não utilizaram;Não utilizaram;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;
;;;;;;;;;;;;;;;;;;;
;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses;;;;;;;;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;;;
;Valores absolutos (1000 pessoas);;;Valores relativos (%);;;;;;;;;;;;;;;
;Total;Microcomputador;;Total;Microcomputador;;;;;;;;;;;;;;
;;Total;Somente microcomputador;;Total;Somente microcomputador;;;;;;;;;;;;;
;102083.09;72607.984;11079.97;100;71.1;10.9;;;;;;;;;;Brasil;;;
;6715.311;3521.63;517.152;100;52.4;7.7;;;;;;;;;;Norte;;;
;710.57;490.902;103.2;100;69.1;14.5;;;;;;;;;;Rondônia;;;
;285.382;151.535;21.022;100;53.1;7.4;;;;;;;;;;Acre;;;
;1596.758;814.99;86.585;100;51;5.4;;;;;;;;;;Amazonas;;;
;268.027;141.754;14.254;100;52.9;5.3;;;;;;;;;;Roraima;;;
;2962.659;1357.966;219.984;100;45.8;7.4;;;;;;;;;;Pará;;;
;1227.217;588.662;65.922;100;48;5.4;;;;;;;;;;Região Metropolitana de Belém;;;
;334.728;188.112;12.083;100;56.2;3.6;;;;;;;;;;Amapá;;;
;557.187;376.371;60.024;100;67.5;10.8;;;;;;;;;;Tocantins;;;
;21831.084;13576.777;2240.19;100;62.2;10.3;;;;;;;;;;Nordeste;;;
;1940.697;937.273;137.554;100;48.3;7.1;;;;;;;;;;Maranhão;;;
;1061;585.949;100.19;100;55.2;9.4;;;;;;;;;;Piauí;;;
;3331.027;2094.04;405.07;100;62.9;12.2;;;;;;;;;;Ceará;;;
;1950.387;1240.573;174.103;100;63.6;8.9;;;;;;;;;;Região Metropolitana de Fortaleza;;;
;1570.481;1015.206;180.857;100;64.6;11.5;;;;;;;;;;Rio Grande do Norte;;;
;1738.3;1083.44;168.722;100;62.3;9.7;;;;;;;;;;Paraíba;;;
;3710.885;2482.385;380.048;100;66.9;10.2;;;;;;;;;;Pernambuco;;;
;2080;1419.243;146.186;100;68.2;7;;;;;;;;;;Região Metropolitana de Recife;;;
;1175.405;757.601;128.364;100;64.5;10.9;;;;;;;;;;Alagoas;;;
;982.846;553.192;35.196;100;56.3;3.6;;;;;;;;;;Sergipe;;;
;6320.443;4067.691;704.189;100;64.4;11.1;;;;;;;;;;Bahia;;;
;2468.34;1711.747;176.716;100;69.3;7.2;;;;;;;;;;Região Metropolitana de Salvador;;;
;49246.983;37287.623;5381.824;100;75.7;10.9;;;;;;;;;;Sudeste;;;
;10332.092;7535.478;1446.879;100;72.9;14;;;;;;;;;;Minas Gerais;;;
;3175.428;2362.485;327.249;100;74.4;10.3;;;;;;;;;;Região Metropolitana de Belo Horizonte;;;
;2004.128;1473.412;207.477;100;73.5;10.4;;;;;;;;;;Espírito Santo;;;
;9707.466;7340.081;903.141;100;75.6;9.3;;;;;;;;;;Rio de Janeiro;;;
;7529.582;5746.303;631.485;100;76.3;8.4;;;;;;;;;;Região Metropolitana do Rio de Janeiro;;;
;27203.297;20938.652;2824.327;100;77;10.4;;;;;;;;;;São Paulo;;;
;13592.382;10655.837;1285.981;100;78.4;9.5;;;;;;;;;;Região Metropolitana de São Paulo;;;
;15758.972;12259.275;2286.373;100;77.8;14.5;;;;;;;;;;Sul;;;
;5897.03;4627.314;831.588;100;78.5;14.1;;;;;;;;;;Paraná;;;
;2065.537;1688.55;215.618;100;81.7;10.4;;;;;;;;;;Região Metropolitana de Curitiba;;;
;3767.691;3088.372;549.585;100;82;14.6;;;;;;;;;;Santa Catarina;;;
;6094.251;4543.589;905.2;100;74.6;14.9;;;;;;;;;;Rio Grande do Sul;;;
;2610.59;1916.91;284.497;100;73.4;10.9;;;;;;;;;;Região Metropolitana de Porto Alegre;;;
;8530.74;5962.679;654.431;100;69.9;7.7;;;;;;;;;;Centro-Oeste;;;
;1455.931;953.096;113.114;100;65.5;7.8;;;;;;;;;;Mato Grosso do Sul;;;
;1526.026;1023.335;110.785;100;67.1;7.3;;;;;;;;;;Mato Grosso;;;
;3541.957;2319.865;293.891;100;65.5;8.3;;;;;;;;;;Goiás;;;
;2006.826;1666.383;136.641;100;83;6.8;;;;;;;;;;Distrito Federal;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;
;;;;;;;;;;;;;;;;;;;
;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses;;;;;;;;;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;;
;Valores absolutos (1000 pessoas);;;Valores relativos (%);;;;;;;;;;;;;;;
;Total;Microcomputador ou tablet;;Total;Microcomputador ou tablet;;;;;;;;;;;;;;
;;Total;Somente por microcomputador ou tablet;;Total;Somente por microcomputador ou tablet;;;;;;;;;;;;;
;102083.09;74443.511;57221.353;100;72.9;56.1;;;;;;;;;;;Brasil;;
;6715.311;3610.742;2954.837;100;53.8;44;;;;;;;;;;;Norte;;
;710.57;500.088;384.731;100;70.4;54.1;;;;;;;;;;;Rondônia;;
;285.382;153.811;129.113;100;53.9;45.2;;;;;;;;;;;Acre;;
;1596.758;844.606;724.496;100;52.9;45.4;;;;;;;;;;;Amazonas;;
;268.027;147.541;126.467;100;55;47.2;;;;;;;;;;;Roraima;;
;2962.659;1392.52;1108.867;100;47;37.4;;;;;;;;;;;Pará;;
;1227.217;609.821;494.658;100;49.7;40.3;;;;;;;;;;;Região Metropolitana de Belém;;
;334.728;190.739;174.19;100;57;52;;;;;;;;;;;Amapá;;
;557.187;381.437;306.973;100;68.5;55.1;;;;;;;;;;;Tocantins;;
;21831.084;14071.61;10962.935;100;64.5;50.2;;;;;;;;;;;Nordeste;;
;1940.697;956.061;762.883;100;49.3;39.3;;;;;;;;;;;Maranhão;;
;1061;600.022;465.496;100;56.6;43.9;;;;;;;;;;;Piauí;;
;3331.027;2158.831;1609.679;100;64.8;48.3;;;;;;;;;;;Ceará;;
;1950.387;1284.096;1008.434;100;65.8;51.7;;;;;;;;;;;Região Metropolitana de Fortaleza;;
;1570.481;1055.474;813.156;100;67.2;51.8;;;;;;;;;;;Rio Grande do Norte;;
;1738.3;1146.784;887.572;100;66;51.1;;;;;;;;;;;Paraíba;;
;3710.885;2611.002;2057.571;100;70.4;55.4;;;;;;;;;;;Pernambuco;;
;2080;1488.629;1218.291;100;71.6;58.6;;;;;;;;;;;Região Metropolitana de Recife;;
;1175.405;791.575;631.125;100;67.3;53.7;;;;;;;;;;;Alagoas;;
;982.846;560.891;500.404;100;57.1;50.9;;;;;;;;;;;Sergipe;;
;6320.443;4190.97;3235.049;100;66.3;51.2;;;;;;;;;;;Bahia;;
;2468.34;1764.495;1452.05;100;71.5;58.8;;;;;;;;;;;Região Metropolitana de Salvador;;
;49246.983;38170.572;29327.932;100;77.5;59.6;;;;;;;;;;;Sudeste;;
;10332.092;7698.831;5685.696;100;74.5;55;;;;;;;;;;;Minas Gerais;;
;3175.428;2412.015;1861.508;100;76;58.6;;;;;;;;;;;Região Metropolitana de Belo Horizonte;;
;2004.128;1517.187;1198.158;100;75.7;59.8;;;;;;;;;;;Espírito Santo;;
;9707.466;7488.315;6055.64;100;77.1;62.4;;;;;;;;;;;Rio de Janeiro;;
;7529.582;5851.127;4792.712;100;77.7;63.7;;;;;;;;;;;Região Metropolitana do Rio de Janeiro;;
;27203.297;21466.239;16388.438;100;78.9;60.2;;;;;;;;;;;São Paulo;;
;13592.382;10883.792;8273.089;100;80.1;60.9;;;;;;;;;;;Região Metropolitana de São Paulo;;
;15758.972;12524.746;9062.617;100;79.5;57.5;;;;;;;;;;;Sul;;
